ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400,SGPA,Cluster
67697,BLD,Male,2013,3.48,3.78,3.28,3.25,3.31,2.57,3
43997,BLD,Male,2013,3.75,3.85,3.53,3.45,3.5,2.55,1
28292,BLD,Male,2013,2.74,3.39,2.31,2.23,2.63,3.05,0
44748,BLD,Female,2013,4.06,3.61,3.74,4.32,4.19,2.15,1
46689,BLD,Female,2013,4.64,4.09,4.62,4.91,4.69,3.36,2
68558,BLD,Male,2014,2.21,1.98,1.97,2.19,2.0,3.05,0
64091,BLD,Female,2013,2.51,2.37,2.33,2.54,2.06,2.07,0
81144,BLD,Male,2014,2.41,2.46,2.17,1.69,1.97,2.99,0
52712,BLD,Male,2013,2.74,2.61,2.53,2.33,2.76,2.22,0
89608,BLD,Male,2013,3.11,2.83,3.23,2.72,3.5,2.66,3
78324,BLD,Male,2013,3.46,3.04,3.09,3.36,3.65,2.43,3
57590,BLD,Male,2013,2.9,2.61,2.57,2.98,2.81,2.85,3
24145,BLD,Female,2013,3.09,2.74,2.98,2.68,3.14,2.23,3
91103,BLD,Male,2013,3.05,2.76,2.69,3.02,3.15,2.71,3
29037,BLD,Female,2013,3.32,3.28,2.93,3.17,3.31,3.04,3
28870,BLD,Female,2013,3.71,2.51,3.75,4.02,4.31,4.31,1
87187,BLD,Male,2013,2.67,2.76,1.88,2.7,2.67,3.59,0
42905,BLD,Female,2013,3.6,3.41,3.42,3.39,3.65,3.54,1
56707,BLD,Female,2013,3.61,3.5,3.51,3.5,3.23,3.48,1
38744,BLD,Male,2013,2.94,3.24,2.78,2.59,2.67,2.08,3
38336,BLD,Female,2013,3.97,3.78,3.8,3.91,3.89,2.67,1
80284,BLD,Male,2013,3.27,2.78,3.02,3.33,3.36,2.42,3
36861,BLD,Male,2013,2.63,2.72,2.36,2.42,1.97,2.89,0
95391,BLD,Female,2014,3.17,2.63,2.56,3.06,3.58,2.5,3
87068,BLD,Female,2014,4.06,3.5,3.59,4.28,4.31,2.27,1
47452,BLD,Male,2014,4.56,4.37,4.47,4.59,4.54,2.5,2
24731,BLD,Male,2014,3.08,2.5,2.41,3.4,3.06,1.47,3
52363,BLD,Male,2014,3.65,3.02,2.89,4.07,4.08,2.64,1
64443,BLD,Male,2014,3.62,3.33,3.39,3.57,3.46,2.85,1
23963,BLD,Male,2014,3.67,3.17,3.39,3.91,3.43,3.75,1
26522,BLD,Male,2014,3.59,2.83,3.06,3.85,4.19,2.57,1
72095,BLD,Male,2014,2.97,2.87,2.77,3.22,2.32,2.81,3
51295,BLD,Male,2014,3.88,3.26,3.63,4.41,3.5,3.91,1
57350,BLD,Male,2014,4.08,3.48,4.04,4.04,4.07,2.88,1
86144,BLD,Male,2014,3.7,3.87,3.63,3.52,3.39,3.05,1
30905,BLD,Female,2014,3.27,2.5,2.89,3.52,3.5,2.08,3
92264,BLD,Female,2014,3.66,3.24,3.63,3.63,4.0,3.21,1
52238,BLD,Male,2014,4.24,3.65,3.76,4.72,4.46,2.45,2
81239,BLD,Male,2014,2.95,3.3,2.7,2.47,2.55,2.5,0
68527,BLD,Male,2014,3.78,3.28,3.72,3.7,3.54,2.81,1
28240,BLD,Male,2014,4.25,3.0,4.11,4.82,4.5,2.15,2
30613,BLD,Female,2014,3.69,3.33,3.43,3.65,3.92,1.74,1
80308,BLD,Male,2014,3.79,2.74,3.57,4.12,4.31,2.71,1
73565,BLD,Male,2014,2.71,2.17,2.03,2.58,3.19,2.17,0
70272,BLD,Female,2014,3.33,2.87,3.04,3.49,3.11,2.89,3
42884,BLD,Male,2014,2.8,2.48,2.16,2.58,3.13,2.73,0
29117,BLD,Male,2011,1.92,2.03,1.4,1.41,1.81,1.84,0
71436,CHE,Male,2010,1.94,2.8,1.99,1.27,1.77,3.28,0
62283,CHE,Male,2010,2.6,2.49,2.67,2.09,2.8,2.25,0
24813,CHE,Male,2012,2.33,2.09,2.1,1.51,1.7,2.92,0
69305,CHE,Male,2010,2.11,1.95,2.25,1.78,2.06,2.89,0
45159,CHE,Female,2010,2.16,2.49,1.54,1.47,1.97,2.94,0
62120,CHE,Female,2010,2.37,2.33,1.67,1.71,3.06,2.88,0
91549,CHE,Male,2010,3.62,4.6,3.94,2.96,2.15,4.13,3
28091,CHE,Male,2012,1.98,2.14,1.97,1.65,2.03,3.26,0
64433,CHE,Male,2010,3.63,3.27,3.87,3.37,4.03,2.73,1
68265,CHE,Female,2010,3.49,3.53,3.71,3.12,3.25,2.71,1
54059,CHE,Male,2010,3.43,3.78,3.8,2.92,3.22,3.04,3
61605,CHE,Male,2010,4.07,4.11,4.4,3.69,3.69,3.57,1
55705,CHE,Female,2010,4.52,4.43,4.56,4.33,4.59,4.38,2
49427,CHE,Male,2010,2.72,2.62,3.06,2.8,2.19,3.2,0
49393,CHE,Male,2010,4.13,4.8,4.52,3.69,3.56,3.61,2
87357,CHE,Female,2010,2.9,2.44,2.74,2.59,3.34,3.44,3
42401,CHE,Female,2010,4.43,4.44,4.44,4.08,4.53,2.99,2
95356,CHE,Male,2010,3.76,3.48,3.78,3.52,4.06,3.91,1
89502,CHE,Female,2010,4.64,4.44,4.74,4.56,4.63,2.79,2
36887,CHE,Female,2010,3.01,2.38,2.98,2.86,3.4,2.5,3
29520,CHE,Male,2010,2.99,3.06,3.43,2.61,2.81,2.29,3
68823,CHE,Male,2010,4.12,4.44,4.16,3.63,4.09,3.85,2
39683,CHE,Male,2010,4.07,3.98,4.16,3.67,4.53,3.3,2
75243,CHE,Male,2010,4.81,4.84,4.84,4.69,4.72,4.45,2
45234,CHE,Female,2010,2.25,2.42,1.93,1.5,2.72,1.88,0
27045,CHE,Male,2010,4.32,4.24,4.38,4.19,4.63,2.32,2
87745,CHE,Female,2010,3.73,3.32,3.92,3.45,4.0,4.27,1
95576,CHE,Male,2010,4.6,4.56,4.88,4.4,4.94,4.53,2
64214,CHE,Female,2010,3.6,3.67,3.84,3.1,3.38,3.44,1
50159,CHE,Female,2010,4.04,3.89,4.22,3.94,4.06,2.65,1
35633,CHE,Female,2010,2.66,2.61,2.39,2.42,2.77,2.64,0
75896,CHE,Female,2010,3.82,3.58,4.02,3.52,3.78,2.95,1
57264,CHE,Male,2010,3.81,3.76,3.92,3.73,3.81,3.83,1
30338,CHE,Male,2010,4.51,4.76,4.48,4.5,4.41,3.75,2
66058,CHE,Male,2010,3.7,3.73,3.76,3.54,3.38,3.54,1
82891,CHE,Male,2010,4.35,4.11,4.34,4.25,4.69,4.24,2
87071,CHE,Female,2010,3.83,3.41,3.78,3.6,4.25,3.05,1
51004,CHE,Male,2010,3.43,3.93,3.96,2.77,2.72,3.75,3
62356,CHE,Male,2010,3.87,4.36,4.14,3.25,4.22,3.93,1
46749,CHE,Male,2010,2.83,3.45,2.86,2.02,2.47,3.02,0
37470,CHE,Female,2010,3.18,3.04,3.71,2.79,2.81,3.05,3
92052,CHE,Female,2010,4.29,4.0,4.32,4.31,4.31,3.82,2
81285,CHE,Male,2010,4.05,3.84,4.3,3.57,4.28,3.98,2
75838,CHE,Female,2010,4.56,4.4,4.72,4.43,4.5,3.75,2
42072,CHE,Female,2012,2.04,2.46,1.96,1.72,2.11,2.6,0
93231,CHE,Female,2010,2.75,2.46,3.12,2.43,2.28,2.92,0
65087,CHE,Male,2010,3.8,4.07,3.78,3.43,3.75,3.47,1
78697,CHE,Male,2010,4.67,4.76,4.78,4.69,4.69,4.53,2
68194,CHE,Female,2010,4.42,4.22,4.68,4.29,4.25,1.77,2
69509,CHE,Female,2010,3.9,3.78,3.57,3.76,4.28,3.89,1
61691,CHE,Male,2010,3.81,4.09,3.92,3.15,3.56,2.71,1
35577,CHE,Male,2010,3.81,4.07,3.86,3.6,4.06,3.91,1
60825,CHE,Male,2010,3.52,4.02,3.18,3.13,3.22,2.43,3
89860,CHE,Male,2010,2.95,3.4,2.68,2.95,2.75,3.13,3
48455,CHE,Male,2011,2.66,3.61,3.55,1.86,2.56,2.59,3
69167,CHE,Male,2011,3.81,3.7,3.08,3.91,4.69,2.41,1
52463,CHE,Female,2011,4.22,4.11,3.77,4.42,4.5,2.71,2
41597,CHE,Male,2011,4.41,4.21,4.1,4.44,4.78,4.06,2
90907,CHE,Male,2011,3.31,4.06,2.75,2.67,3.63,3.88,3
64110,CHE,Male,2011,3.29,3.77,2.94,2.64,3.69,3.28,3
68627,CHE,Female,2011,4.07,4.23,3.59,3.87,4.31,2.86,1
36276,CHE,Male,2011,3.72,4.15,3.37,3.44,3.91,4.17,1
70037,CHE,Male,2011,3.04,3.79,3.37,2.89,3.19,3.13,3
56945,CHE,Male,2011,3.85,4.06,3.43,3.69,4.09,3.44,1
88428,CHE,Male,2011,3.8,3.94,3.56,3.47,4.22,3.54,1
88886,CHE,Female,2011,4.66,4.6,4.62,4.56,4.91,3.59,2
38522,CHE,Male,2012,2.46,3.11,1.89,1.98,2.27,3.2,0
65651,CHE,Female,2011,4.21,4.17,3.6,4.4,4.47,3.48,2
37792,CHE,Female,2011,4.08,4.06,3.83,3.89,4.47,2.86,2
38715,CHE,Female,2011,4.45,4.43,3.96,4.69,4.72,2.86,2
68538,CHE,Female,2011,4.41,4.7,3.96,4.27,4.75,2.81,2
62072,CHE,Male,2012,2.34,3.15,2.24,2.18,2.47,2.73,0
32935,CHE,Male,2011,4.53,4.79,4.37,4.6,4.78,4.1,2
31237,CHE,Male,2012,3.4,4.47,2.88,3.07,3.75,2.71,3
88830,CHE,Male,2012,4.44,4.6,4.1,4.49,4.81,3.04,2
75176,CHE,Male,2012,3.83,3.79,3.41,3.6,4.34,3.36,1
40146,CHE,Female,2012,4.03,4.17,3.51,4.0,4.5,3.83,2
48179,CHE,Male,2012,4.26,4.3,4.06,4.13,4.72,2.95,2
94862,CHE,Male,2012,3.68,3.79,3.18,3.72,4.56,3.13,1
59022,CHE,Female,2012,4.32,4.19,4.21,4.15,4.78,4.29,2
95041,CHE,Male,2012,4.01,4.19,3.53,4.19,4.41,2.66,1
25421,CHE,Male,2012,3.07,3.87,2.26,2.63,4.28,3.91,3
28326,CHE,Female,2013,2.97,3.89,2.45,2.74,2.47,3.52,3
88265,CHE,Female,2012,4.0,4.13,3.57,3.88,4.44,3.52,2
54849,CHE,Female,2012,4.5,4.62,4.35,4.57,4.78,3.28,2
38097,CHE,Male,2012,4.02,4.32,3.9,3.53,3.97,3.57,1
88946,CHE,Male,2012,3.84,3.87,3.33,3.77,4.47,3.13,1
61960,CHE,Male,2012,4.38,4.47,4.29,4.13,4.84,4.44,2
65241,CHE,Male,2013,2.79,3.55,2.51,2.16,3.0,3.44,3
25751,CHE,Male,2012,3.61,4.13,3.53,3.11,3.88,3.21,1
96037,CHE,Female,2012,3.12,3.81,2.69,2.52,3.41,2.95,3
61005,CHE,Female,2013,4.26,4.64,3.78,4.28,4.28,3.39,2
64281,CHE,Female,2012,3.9,4.15,3.76,3.46,4.09,3.85,1
44823,CHE,Male,2012,4.18,4.36,4.63,3.79,4.38,3.52,2
68843,CHE,Male,2012,4.16,4.13,3.77,4.04,4.72,3.83,2
28180,CHE,Male,2012,4.21,4.36,3.96,4.04,4.53,4.17,2
68429,CHE,Male,2012,4.64,4.74,4.41,4.66,4.84,4.22,2
43736,CHE,Male,2012,3.85,3.77,3.67,3.51,4.69,3.31,1
48454,CHE,Male,2012,3.66,4.28,3.3,3.17,4.19,3.13,1
77278,CHE,Male,2012,3.33,3.94,2.91,2.88,4.06,3.98,1
29969,CHE,Male,2012,3.28,3.45,3.22,2.57,3.78,2.77,3
66479,CHE,Female,2012,4.73,4.74,4.71,4.74,4.91,4.24,2
84504,CHE,Male,2013,3.36,4.11,3.37,3.6,3.31,3.28,1
26482,CHE,Male,2012,4.54,4.79,4.63,4.53,4.59,3.59,2
41392,CHE,Male,2012,2.65,2.96,1.87,2.41,3.16,3.23,0
70028,CHE,Male,2014,2.36,2.77,1.88,2.55,1.55,2.32,0
30148,CHE,Male,2012,3.7,4.04,3.24,3.13,4.47,2.86,1
37289,CHE,Female,2012,4.19,4.3,3.62,4.21,4.63,4.06,2
58169,CHE,Female,2012,3.54,4.4,3.2,2.9,4.06,3.2,1
52997,CHE,Male,2012,4.6,4.85,4.69,4.53,4.53,4.14,2
82168,CHE,Male,2012,3.48,3.79,3.36,2.98,4.0,2.71,1
91339,CHE,Male,2012,3.86,4.15,3.25,3.68,4.59,3.05,1
58092,CHE,Male,2012,3.43,4.0,2.92,3.11,3.69,2.89,3
35733,CHE,Male,2012,3.65,4.15,3.21,3.22,4.25,3.28,1
85163,CHE,Female,2012,2.98,2.96,2.23,2.55,3.53,2.92,3
48693,CHE,Male,2012,3.07,4.0,3.07,2.23,3.16,3.3,3
88046,CHE,Male,2012,3.79,4.43,3.86,3.24,3.84,3.48,1
53740,CHE,Female,2012,4.33,4.06,3.92,4.45,4.88,3.91,2
76908,CHE,Female,2013,3.34,4.43,3.03,3.52,2.48,2.97,3
92219,CHE,Female,2012,4.0,4.19,3.56,3.68,4.75,3.91,2
37750,CHE,Female,2013,3.98,4.15,3.7,3.94,4.22,4.22,2
61038,CHE,Male,2013,4.0,4.64,4.15,3.85,3.72,3.04,1
56054,CHE,Male,2013,4.48,4.28,4.0,4.45,4.94,3.91,2
80428,CHE,Female,2013,3.4,4.06,2.92,3.66,3.13,3.2,1
95738,CHE,Male,2013,4.36,4.55,4.02,4.34,4.56,4.22,2
52389,CHE,Female,2013,3.08,3.62,3.05,2.74,2.71,3.61,3
73779,CHE,Male,2013,4.83,4.91,4.69,4.94,4.78,3.83,2
83578,CHE,Male,2013,3.03,3.47,2.95,2.88,2.77,3.28,3
56159,CHE,Male,2013,4.23,4.81,4.04,4.36,4.06,3.91,2
68493,CHE,Male,2013,3.41,4.13,3.37,3.13,2.8,2.76,3
40418,CHE,Male,2013,2.75,4.23,2.8,2.43,1.62,3.54,3
32402,CHE,Male,2013,4.59,4.64,4.54,4.7,4.56,3.83,2
91308,CHE,Male,2013,2.7,3.47,2.09,2.76,2.39,2.1,0
51276,CHE,Male,2014,2.53,4.02,3.5,1.72,2.57,4.58,3
88090,CHE,Female,2013,4.21,4.4,3.85,4.3,4.03,4.24,2
83307,CHE,Male,2013,4.37,4.7,3.71,4.49,4.56,4.06,2
29316,CHE,Male,2013,4.04,4.06,3.58,4.21,4.23,2.58,1
73776,CHE,Male,2013,2.63,3.81,3.17,2.61,1.75,3.57,3
89111,CHE,Female,2013,3.84,3.91,3.44,3.87,4.0,4.0,1
75136,CHE,Male,2013,4.0,4.43,3.59,3.96,4.53,2.58,1
54822,CHE,Female,2013,4.2,4.55,4.04,4.04,4.03,4.22,2
63404,CHE,Female,2013,3.61,3.72,3.71,3.31,3.53,3.83,1
89075,CHE,Male,2013,4.16,4.49,3.88,4.38,3.88,3.0,2
58206,CHE,Male,2013,3.14,4.28,3.13,2.27,3.08,2.5,3
94755,CHE,Female,2013,3.68,3.94,3.45,3.72,3.78,2.36,1
35850,CHE,Male,2013,2.88,3.96,3.0,2.6,2.62,2.5,3
70708,CHE,Male,2014,2.45,3.81,2.39,2.0,2.0,3.83,0
52104,CHE,Male,2013,2.84,4.15,2.74,2.67,2.47,3.19,3
40490,CHE,Female,2013,3.53,4.3,3.02,2.79,4.03,3.82,1
69278,CHE,Female,2013,2.56,3.4,2.39,2.21,2.4,2.43,0
41224,CHE,Female,2013,3.81,4.36,2.97,4.11,3.66,3.04,1
48521,CHE,Male,2013,3.73,4.0,3.41,3.91,3.82,4.88,1
91513,CHE,Male,2013,3.67,4.17,3.24,3.53,3.66,2.66,1
79035,CHE,Male,2013,2.7,4.04,2.66,2.33,2.52,4.38,3
92656,CHE,Male,2013,3.55,4.3,3.12,3.21,3.49,3.06,1
66477,CHE,Female,2013,4.22,4.66,3.88,4.12,4.06,4.38,2
55557,CHE,Male,2013,3.51,4.06,3.36,3.11,3.83,2.5,1
86645,CHE,Male,2013,3.75,4.17,3.44,3.86,3.47,3.67,1
96697,CHE,Male,2013,4.35,4.79,4.33,4.62,4.22,3.83,2
95317,CHE,Male,2013,2.89,4.23,2.74,2.65,2.5,3.28,3
24624,CHE,Male,2013,3.9,4.28,4.06,3.51,3.59,3.28,1
45379,CHE,Female,2013,4.19,4.74,4.1,4.64,4.28,4.22,2
60884,CHE,Male,2013,4.19,4.21,3.77,4.36,4.63,3.91,2
79792,CHE,Male,2014,3.37,4.15,3.45,3.0,2.84,3.82,3
83761,CHE,Male,2013,3.43,4.3,3.14,3.38,3.09,3.19,3
38482,CHE,Female,2013,3.07,3.55,2.47,2.67,3.28,2.64,3
95643,CHE,Female,2014,4.65,4.79,4.29,4.83,4.66,3.19,2
95668,CHE,Male,2014,3.73,4.0,3.11,3.94,3.78,2.85,1
93426,CHE,Female,2014,3.59,3.89,3.47,3.3,3.53,3.06,1
96154,CHE,Female,2014,4.04,4.28,4.06,3.81,4.16,2.89,2
82281,CHE,Female,2014,3.61,4.34,3.18,3.37,3.45,2.41,1
58176,CHE,Male,2014,2.71,3.21,2.88,2.28,2.38,3.13,0
84652,CHE,Female,2014,4.34,4.43,4.0,4.38,4.69,3.91,2
95060,CHE,Male,2014,3.85,3.85,3.65,3.91,3.94,3.01,1
57277,CHE,Female,2014,3.31,3.98,2.93,3.42,2.58,2.86,3
72010,CHE,Female,2014,4.47,4.72,4.31,4.28,4.56,2.9,2
71746,CHE,Male,2014,3.83,4.21,3.75,3.66,3.72,4.03,1
78331,CHE,Male,2014,3.56,3.87,3.35,3.49,3.56,3.36,1
88125,CHE,Female,2014,4.38,4.68,4.13,4.28,4.25,2.5,2
59188,CHE,Male,2014,2.93,3.98,2.34,2.21,3.28,2.97,3
39325,CHE,Male,2014,3.86,4.21,3.63,3.7,3.78,2.68,1
46705,CHE,Female,2014,3.16,3.85,2.78,3.15,2.78,3.82,3
38043,CHE,Female,2014,3.09,3.34,3.05,3.19,2.78,3.54,3
28193,CHE,Male,2014,2.9,3.28,2.16,2.52,3.61,3.13,3
94744,CHE,Male,2014,4.56,4.43,4.17,4.72,4.78,4.24,2
60610,CHE,Female,2014,4.38,4.79,4.42,4.17,3.94,3.91,2
73826,CHE,Male,2014,3.25,3.51,2.79,3.34,3.16,3.33,3
81675,CHE,Female,2014,4.01,4.57,3.73,3.94,3.84,2.22,1
70040,CHE,Male,2014,3.23,4.0,3.18,2.94,2.72,3.54,3
49197,CHE,Male,2014,3.28,3.19,2.61,3.1,3.63,3.09,3
75039,CHE,Female,2014,3.83,4.15,3.13,3.49,4.31,3.47,1
24860,CHE,Male,2014,3.34,3.17,2.6,3.04,3.91,3.05,3
36603,CHE,Male,2014,4.67,4.85,4.58,4.49,4.78,4.14,2
36126,CHE,Male,2014,4.24,4.4,4.0,4.17,4.38,2.15,2
88932,CHE,Male,2014,3.45,3.57,2.84,3.13,4.06,2.89,3
33164,CHE,Female,2014,3.73,4.13,3.54,3.87,3.09,3.67,1
96954,CHE,Female,2014,4.46,4.64,4.09,4.34,4.81,3.82,2
56625,CHE,Male,2014,3.19,3.72,3.27,3.17,2.5,3.91,3
88930,CHE,Male,2014,4.45,4.55,4.12,4.36,4.97,3.96,2
63002,CHE,Male,2014,2.88,3.02,2.5,2.56,3.28,3.06,3
55869,CHE,Female,2014,4.51,4.81,4.22,4.55,4.53,3.75,2
49562,CHE,Male,2014,3.57,3.79,3.46,3.21,3.5,2.78,1
90037,CHE,Male,2014,4.1,4.7,3.87,3.85,4.09,3.61,2
61662,CHE,Male,2014,3.67,3.96,3.39,3.66,3.5,2.99,1
56340,CHE,Male,2014,3.03,3.23,2.33,2.96,3.5,3.13,3
47584,CHE,Female,2014,4.5,4.81,4.4,4.53,4.22,3.75,2
59378,CHE,Male,2014,3.55,3.3,3.27,3.58,4.0,2.5,1
88035,CHE,Female,2014,4.01,4.79,4.06,3.62,3.22,2.42,1
82132,CHE,Male,2014,3.8,3.83,3.25,3.89,4.19,3.36,1
95102,CHE,Female,2014,4.86,4.89,4.71,4.85,4.91,4.51,2
26559,CHE,Male,2014,3.65,4.36,3.6,3.36,3.22,2.64,1
57647,CHE,Female,2014,3.42,4.17,2.91,3.35,3.03,3.4,1
80756,CHM,Female,2010,2.37,1.82,2.04,2.52,2.32,2.86,0
45572,CHM,Female,2010,3.16,2.21,3.5,3.35,3.53,2.34,3
49291,CHM,Male,2010,3.67,3.23,3.85,3.65,3.9,2.92,1
23629,CHM,Female,2010,3.36,2.52,3.38,3.58,4.09,2.89,1
47720,CHM,Male,2010,3.11,2.46,2.9,3.77,3.5,2.5,3
56265,CHM,Female,2010,3.84,3.33,3.48,4.29,4.37,2.59,1
