CGPA,CGPA300,SGPA,Gender,Prog Code,Target
0.49279538904899134,0.45537757437070936,0.48126801152737747,0,8,2
0.5936599423631125,0.6270022883295194,0.44956772334293954,0,0,1
0.19884726224783855,0.19679633867276886,0.21037463976945242,1,0,2
0.34005763688760815,0.3135011441647597,0.4985590778097983,1,0,1
0.6801152737752162,0.6864988558352402,0.8011527377521614,0,0,2
0.41786743515850144,0.6064073226544622,0.48126801152737747,1,0,1
0.5244956772334294,0.643020594965675,0.44956772334293954,1,0,0
0.2997118155619597,0.37986270022883295,0.3515850144092219,0,0,1
0.6455331412103745,0.7437070938215102,0.48126801152737747,1,0,2
0.7031700288184438,0.7276887871853547,0.7262247838616713,0,0,0
0.7118155619596543,0.6704805491990846,0.7636887608069165,0,0,0
0.43227665706051877,0.5423340961098398,0.4207492795389049,1,0,2
1.0,0.9999999999999999,0.7723342939481266,0,0,1
0.5129682997118155,0.4416475972540046,0.48126801152737747,0,0,0
0.8414985590778098,0.8924485125858123,0.4121037463976946,0,0,2
0.7780979827089337,0.8146453089244852,0.29971181556195964,0,0,2
0.6023054755043228,0.6201372997711669,0.45533141210374645,1,0,1
0.69164265129683,0.700228832951945,0.5994236311239194,0,0,1
0.5100864553314121,0.7505720823798627,0.31412103746397696,1,0,0
0.648414985590778,0.7345537757437071,0.48126801152737747,1,0,0
0.6743515850144092,0.7482837528604118,0.6138328530259365,0,0,1
0.829971181556196,0.8901601830663614,0.5936599423631124,0,0,0
0.5446685878962536,0.6384439359267734,0.48126801152737747,0,0,0
0.7550432276657059,0.8604118993135009,0.7953890489913544,0,0,1
0.8847262247838615,0.9405034324942793,0.5936599423631124,0,0,0
0.7089337175792506,0.6910755148741419,0.44092219020172924,0,0,1
0.33717579250720453,0.4324942791762013,0.5475504322766571,1,0,1
0.729106628242075,0.7780320366132724,0.5475504322766571,0,0,2
0.6109510086455331,0.8077803203661327,0.345821325648415,0,0,0
0.7925072046109508,0.8901601830663614,0.7406340057636889,0,0,1
0.3198847262247838,0.38672768878718533,0.38904899135446686,1,0,0
0.8818443804034583,0.9336384439359268,0.6829971181556196,0,0,2
0.34005763688760815,0.5080091533180778,0.48126801152737747,0,0,1
0.377521613832853,0.46910755148741423,0.5302593659942363,0,0,0
0.685878962536023,0.7574370709382151,0.6340057636887608,0,0,2
0.7233429394812682,0.8375286041189931,0.749279538904899,0,0,1
0.6829971181556197,0.805491990846682,0.4293948126801153,0,0,1
0.6455331412103745,0.6681922196796338,0.4121037463976946,1,0,0
0.5878962536023055,0.7048054919908466,0.5994236311239194,0,0,0
0.6282420749279539,0.7711670480549199,0.5475504322766571,0,0,2
0.5446685878962536,0.585812356979405,0.45821325648414984,0,0,1
0.377521613832853,0.5560640732265446,0.36599423631123923,1,0,0
0.7636887608069164,0.8741418764302059,0.31988472622478387,0,0,1
0.5014409221902016,0.5720823798627002,0.6138328530259365,0,0,2
0.3170028818443804,0.37986270022883295,0.5706051873198847,0,0,0
0.34582132564841506,0.3661327231121281,0.4005763688760808,0,0,2
0.9164265129682997,0.9862700228832951,0.861671469740634,0,0,1
0.5158501440922191,0.6384439359267734,0.4351585014409222,1,0,1
0.7175792507204609,0.7643020594965675,0.6829971181556196,0,0,0
0.27953890489913547,0.41647597254004576,0.45821325648414984,1,0,2
0.48703170028818443,0.6453089244851259,0.6051873198847262,1,0,1
0.41786743515850144,0.6018306636155606,0.4351585014409222,0,0,0
0.7204610951008644,0.8512585812356979,0.4293948126801153,0,0,1
0.6714697406340059,0.6887871853546911,0.659942363112392,0,0,0
0.49567723342939485,0.5949656750572082,0.37752161383285304,0,0,2
0.40634005763688763,0.5423340961098398,0.5475504322766571,0,0,0
0.3804034582132564,0.3432494279176201,0.4034582132564842,1,0,1
0.6167146974063401,0.6155606407322654,0.48126801152737747,0,0,2
0.4034582132564841,0.49885583524027455,0.29971181556195964,0,0,2
0.3948126801152738,0.5148741418764302,0.4005763688760808,0,0,0
0.7665706051873199,0.7368421052631579,0.7118155619596542,0,0,1
0.743515850144092,0.8512585812356979,0.5475504322766571,0,0,2
0.5821325648414987,0.7276887871853547,0.38040345821325644,0,0,1
0.9020172910662826,0.9267734553775743,0.8587896253602305,0,0,1
0.28530259365994226,0.45308924485125857,0.4034582132564842,0,0,2
0.47838616714697413,0.6155606407322654,0.3227665706051874,0,0,2
0.34870317002881845,0.5423340961098398,0.4121037463976946,0,0,0
0.42363112391930846,0.5423340961098398,0.5187319884726225,1,0,0
0.34005763688760815,0.4096109839816934,0.5706051873198847,0,0,0
0.34582132564841506,0.46910755148741423,0.5244956772334293,0,0,1
0.19020172910662825,0.49885583524027455,0.38040345821325644,0,0,1
0.36311239193083567,0.4393592677345537,0.5706051873198847,1,0,0
0.27665706051873196,0.38672768878718533,0.2881844380403458,0,0,1
0.5273775216138329,0.631578947368421,0.48126801152737747,0,0,2
